Date,Open,High,Low,Close,Volume
2021-12-29,176.01518166650393,177.29115484994108,173.98343733201935,174.2877197265625,186184200
2021-12-22,169.84143453308616,177.97820636728795,168.96788634228432,175.9759063720703,314555800
2021-12-15,171.87319719399315,177.79173505968467,164.3646088499784,169.79238891601562,675366800
2021-12-08,168.94827379923657,178.76342914732697,167.54469879655562,171.10760498046875,633942700
2021-12-01,164.38424871056728,168.40846915616368,154.8831837229567,168.01585388183594,634717200
2021-11-24,157.77860854431248,162.46044143301737,153.4697563190614,162.2445068359375,409219700
2021-11-17,148.20884206203607,162.6371170687542,148.19903229855836,158.42642211914062,557450100
2021-11-10,147.24696600690194,149.07258551660308,144.7539081398185,148.20884704589844,288470100
2021-11-03,147.3950218685773,149.3943892217365,146.8363810461164,147.80665588378906,292178800
2021-10-27,146.38553455052693,150.11965698606403,143.4942860340153,147.0323944091797,424836300
2021-10-20,145.73865054868457,147.83603205253846,144.68015685212583,146.3463134765625,290337200
2021-10-13,138.42728356178324,146.1993545195854,136.42790073585982,145.79751586914062,378578200
2021-10-06,136.69249660209678,141.92614846187732,135.61439680105676,138.69186401367188,341215100
2021-09-29,139.63273638541398,141.57330084880175,135.516381632353,138.29981994628906,437481400
2021-09-22,141.57328709137494,144.53314822612793,138.86825764906274,139.08387756347656,377843400
2021-09-15,145.60146589791006,146.46394572451536,138.4566508313359,140.57362365722656,480497100
2021-09-08,153.8538155825421,153.91261831898314,143.98436250368405,145.17025756835938,484319700
2021-09-01,149.7864201598259,154.12819033773275,149.30617303687663,153.56954956054688,291516200
2021-08-25,146.82657424370947,150.43329587129173,143.90592427998246,148.8063507080078,340800700
2021-08-18,146.8167581862322,147.85564605050203,141.6223039099705,146.6403350830078,342574100
2021-08-11,143.14143797852472,148.6593071585842,142.6317895173148,147.19898986816406,375676800
2021-08-04,144.12123048466384,144.6790355736366,142.1933497774782,142.4869384765625,274824600
2021-07-28,141.71380823344143,144.87474327138378,139.49233902841326,144.20928955078125,373737900
2021-07-21,142.41841931752523,146.62648392845549,141.5376682063601,143.6319122314453,401031800
2021-07-14,144.93348075075383,146.7928508889981,138.64095277772412,143.02516174316406,544907100
2021-07-07,140.4709562620003,144.30715565248005,137.6623246789198,142.52606201171875,487504700
2021-06-30,133.2585037106392,140.0892579080835,132.8572664684914,138.98342895507812,302781600
2021-06-23,130.90985338179019,133.57169796299607,129.9703726750249,133.4151153564453,326376300
2021-06-16,127.58257130341657,131.21325484898733,125.71342011232946,131.11538696289062,451936900
2021-06-09,124.49011215432594,127.80763716841207,123.24726940871781,126.86815643310547,341239500
2021-06-02,121.62275736551564,125.71339218854128,120.49734412182609,124.03015899658203,356138800
2021-05-26,124.24545593584268,124.91091709339092,121.29003011236857,121.62275695800781,290149700
2021-05-19,120.52671195342363,125.5763892558692,120.23312328559959,124.1867446899414,383866900
2021-05-12,120.76158558167953,125.1555827825098,119.63617224319296,122.18058013916016,437539100
2021-05-05,126.22319362509596,128.23572827561742,119.94134228840619,123.00900268554688,455316500
2021-04-28,131.21543163430658,133.91184946838027,123.78076904048892,124.9042739868164,581400400
2021-04-21,129.31036765083837,132.2900972832069,128.27479290485255,131.29359436035156,364992000
2021-04-14,131.8308977107334,132.4073001522847,128.62647221983735,130.04306030273438,450568800
2021-04-07,122.93082848769656,131.55738356076128,122.2567239772755,131.33267211914062,461684500
2021-03-31,118.84712985877687,124.20086397868832,118.35865008743262,123.30206298828125,362235400
2021-03-24,119.9901634449498,120.06832199248277,116.12140478537988,117.13744354248047,447937500
2021-03-17,121.1918092022949,122.96010322390966,116.92249419988975,119.71659851074219,626091200
2021-03-10,118.88620342848095,124.28878824765125,116.41449709669644,122.67680358886719,510706600
2021-03-03,121.93430872126291,122.81357373250215,113.53245879370742,118.30001831054688,728790300
2021-02-24,122.06131436171253,125.7542198385075,117.76269135108636,122.23716735839844,642368600
2021-02-17,128.2259321730705,129.1735840643747,115.6622326225289,122.96012115478516,544633400
2021-02-10,133.33545237067972,133.83371134592784,129.7304687820516,130.1212615966797,278048000
2021-02-03,132.43410309493126,134.50217678419668,130.33678043095497,132.677978515625,397829200
2021-01-27,139.91620546544368,140.76490208915033,127.02008633728747,131.6829833984375,650533900
2021-01-20,125.50809800592175,141.53558962953517,125.40079218444072,139.6528778076172,594932100
2021-01-13,125.60560428928909,128.2297064685926,123.8301987834441,124.69839477539062,381214400
2021-01-06,124.59110186954183,129.3808196944625,123.28392547431837,125.64464569091797,562160000
2020-12-30,132.2585419086845,132.65850123746057,123.65461593495509,127.80049133300781,436535500
2020-12-23,128.9223015752991,135.38986738995195,127.57610453574539,131.56590270996094,388687300
2020-12-16,124.2886760994474,131.11718805054522,120.42568278915174,128.649169921875,675266300
2020-12-09,121.47923990099763,124.76668369873353,117.20654462813675,124.7471694946289,519769400
2020-12-02,119.03073880508477,121.91823098434014,117.92842433514168,121.33292388916016,415169700
